year,gini,gini_precovid,gini_covid,ginichange,ginichange_precovid,ginichange_covid
1990,69.77473000000001,,,-.016716,,
1991,69.72779,,,-.0469437,,
1992,69.6587,,,-.0690918,,
1993,69.81359999999999,,,.1548996,,
1994,69.70468,,,-.1089172,,
1995,69.37197,,,-.3327103,,
1996,68.94718,,,-.4247894,,
1997,69.02692,,,.0797348,,
1998,69.32389000000001,,,.2969742,,
1999,69.67746,,,.353569,,
2000,69.13187000000001,,,-.5455932999999999,,
2001,69.12936000000001,,,-.0025024,,
2002,68.68191,,,-.4474564,,
2003,68.68733,,,.0054245,,
2004,67.78142,,,-.9059143,,
2005,67.27023,,,-.5111847,,
2006,67.09225000000001,,,-.1779861,,
2007,66.86551,,,-.226738,,
2008,66.51908,,,-.3464279,,
2009,65.81983,,,-.6992493,,
2010,65.17283999999999,,,-.6469954999999999,,
2011,64.41773999999999,,,-.7550964,,
2012,63.82764,,,-.5900993,,
2013,63.02953,,,-.7981071,,
2014,62.67284,,,-.3566933,,
2015,62.53791,,,-.1349258,,
2016,62.55041,,,.0124931,,
2017,62.20354,,,-.3468704,,
2018,61.98178,,,-.2217522,,
2019,62.02449,62.02449,62.02449,.0427055,,
2020,,61.86461,62.57296,,-.1598778,.5484734
